repo,pr_number,author,diff_hunk,review_comment,label
pandas-dev/pandas,64943,DeeptimaanB,,"Hello there! While investigating Doc Build and Upload / Doc Build and Upload (pull_request) CI run. The CI gives this warning - 

WARNING: failed to reach any of the inventories with the following issues:
intersphinx inventory 'https://docs.scipy.org/doc/scipy/objects.inv' not fetchable due to <class 'requests.exceptions.ConnectTimeout'>: HTTPSConnectionPool(host='docs.scipy.org', port=443): Max retries exceeded with url: /doc/scipy/objects.inv (Caused by
ConnectTimeoutError(<HTTPSConnection(host='docs.scipy.org', port=443) at 0x7f2952a1a090>, 'Connection to docs.scipy.org timed out. (connect timeout=None)'))

which I believe is a CI run network issue and is not related to my pull request. Can a maintainer look into this? I made an empty commit hoping it will resolve but it didn't. Thank you for your time and patience!",
pandas-dev/pandas,64956,jbrockmendel,,"wow Claude Code beats, gj",
tiangolo/fastapi,15159,tiangolo,,"## 📝 Docs preview

Last commit 8366eaee417e47564edf7cacb69739a69d5276ce at: https://e7d6f4a8.fastapitiangolo.pages.dev

### Modified Pages

* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/ - ([before](https://fastapi.tiangolo.com/pt/)) - ([English](https://fastapi.tiangolo.com/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/_llm-test/ - ([before](https://fastapi.tiangolo.com/pt/_llm-test/)) - ([English](https://fastapi.tiangolo.com/_llm-test/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/alternatives/ - ([before](https://fastapi.tiangolo.com/pt/alternatives/)) - ([English](https://fastapi.tiangolo.com/alternatives/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/async/ - ([before](https://fastapi.tiangolo.com/pt/async/)) - ([English](https://fastapi.tiangolo.com/async/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/benchmarks/ - ([before](https://fastapi.tiangolo.com/pt/benchmarks/)) - ([English](https://fastapi.tiangolo.com/benchmarks/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/environment-variables/ - ([before](https://fastapi.tiangolo.com/pt/environment-variables/)) - ([English](https://fastapi.tiangolo.com/environment-variables/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/fastapi-cli/ - ([before](https://fastapi.tiangolo.com/pt/fastapi-cli/)) - ([English](https://fastapi.tiangolo.com/fastapi-cli/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/features/ - ([before](https://fastapi.tiangolo.com/pt/features/)) - ([English](https://fastapi.tiangolo.com/features/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/help-fastapi/ - ([before](https://fastapi.tiangolo.com/pt/help-fastapi/)) - ([English](https://fastapi.tiangolo.com/help-fastapi/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/history-design-future/ - ([before](https://fastapi.tiangolo.com/pt/history-design-future/)) - ([English](https://fastapi.tiangolo.com/history-design-future/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/project-generation/ - ([before](https://fastapi.tiangolo.com/pt/project-generation/)) - ([English](https://fastapi.tiangolo.com/project-generation/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/python-types/ - ([before](https://fastapi.tiangolo.com/pt/python-types/)) - ([English](https://fastapi.tiangolo.com/python-types/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/)) - ([English](https://fastapi.tiangolo.com/tutorial/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/bigger-applications/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/bigger-applications/)) - ([English](https://fastapi.tiangolo.com/tutorial/bigger-applications/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/body-updates/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/body-updates/)) - ([English](https://fastapi.tiangolo.com/tutorial/body-updates/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/cors/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/cors/)) - ([English](https://fastapi.tiangolo.com/tutorial/cors/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/debugging/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/debugging/)) - ([English](https://fastapi.tiangolo.com/tutorial/debugging/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/encoder/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/encoder/)) - ([English](https://fastapi.tiangolo.com/tutorial/encoder/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/extra-data-types/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/extra-data-types/)) - ([English](https://fastapi.tiangolo.com/tutorial/extra-data-types/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/extra-models/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/extra-models/)) - ([English](https://fastapi.tiangolo.com/tutorial/extra-models/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/first-steps/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/first-steps/)) - ([English](https://fastapi.tiangolo.com/tutorial/first-steps/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/handling-errors/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/handling-errors/)) - ([English](https://fastapi.tiangolo.com/tutorial/handling-errors/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/middleware/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/middleware/)) - ([English](https://fastapi.tiangolo.com/tutorial/middleware/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/path-params/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/path-params/)) - ([English](https://fastapi.tiangolo.com/tutorial/path-params/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/query-params-str-validations/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/query-params-str-validations/)) - ([English](https://fastapi.tiangolo.com/tutorial/query-params-str-validations/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/query-params/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/query-params/)) - ([English](https://fastapi.tiangolo.com/tutorial/query-params/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/request-forms/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/request-forms/)) - ([English](https://fastapi.tiangolo.com/tutorial/request-forms/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/response-model/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/response-model/)) - ([English](https://fastapi.tiangolo.com/tutorial/response-model/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/tutorial/response-status-code/ - ([before](https://fastapi.tiangolo.com/pt/tutorial/response-status-code/)) - ([English](https://fastapi.tiangolo.com/tutorial/response-status-code/))
* https://e7d6f4a8.fastapitiangolo.pages.dev/pt/virtual-environments/ - ([before](https://fastapi.tiangolo.com/pt/virtual-environments/)) - ([English](https://fastapi.tiangolo.com/virtual-environments/))
",
tiangolo/fastapi,13328,ceb10n,,Thanks for the update! @ceb10n :raised_hands: :sparkles: ,
tiangolo/fastapi,14992,YuriiMotov,,"<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->
## Merging this PR will **not alter performance**




`✅ 20` untouched benchmarks  



---

<sub>Comparing <code>xdist</code> (a754bc1) with <code>master</code> (daba0aa)</sub>

<a href=""https://codspeed.io/fastapi/fastapi/branches/xdist?utm_source=github&utm_medium=comment-v2&utm_content=button"">
  <picture>
    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">
    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">
    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">
  </picture>
</a>

",
tiangolo/fastapi,15153,tiangolo,,"## 📝 Docs preview

Last commit 9898cfecf74fe259ac09885263457ce1dcd8f6ad at: https://1a13cf5f.fastapitiangolo.pages.dev

### Modified Pages

* https://1a13cf5f.fastapitiangolo.pages.dev/de/advanced/json-base64-bytes/ - ([before](https://fastapi.tiangolo.com/de/advanced/json-base64-bytes/)) - ([English](https://fastapi.tiangolo.com/advanced/json-base64-bytes/))
* https://1a13cf5f.fastapitiangolo.pages.dev/de/advanced/stream-data/ - ([before](https://fastapi.tiangolo.com/de/advanced/stream-data/)) - ([English](https://fastapi.tiangolo.com/advanced/stream-data/))
* https://1a13cf5f.fastapitiangolo.pages.dev/de/advanced/strict-content-type/ - ([before](https://fastapi.tiangolo.com/de/advanced/strict-content-type/)) - ([English](https://fastapi.tiangolo.com/advanced/strict-content-type/))
* https://1a13cf5f.fastapitiangolo.pages.dev/de/editor-support/ - ([before](https://fastapi.tiangolo.com/de/editor-support/)) - ([English](https://fastapi.tiangolo.com/editor-support/))
* https://1a13cf5f.fastapitiangolo.pages.dev/de/tutorial/server-sent-events/ - ([before](https://fastapi.tiangolo.com/de/tutorial/server-sent-events/)) - ([English](https://fastapi.tiangolo.com/tutorial/server-sent-events/))
* https://1a13cf5f.fastapitiangolo.pages.dev/de/tutorial/stream-json-lines/ - ([before](https://fastapi.tiangolo.com/de/tutorial/stream-json-lines/)) - ([English](https://fastapi.tiangolo.com/tutorial/stream-json-lines/))
",
django/django,20792,SnippyCodes,,"@JaeHyuckSa thanks for the feedback! I absolutely agree that testing both branches is important. I have made the following changes after carefully reviewing your suggestions
1.Moved logic to existing class( `SetupConfigureLogging`).
2.Updated Docstring to describe the signal behavior .
3.Cleaned Up the ` import logging` inside the test method.
4.Added test case for `LOGGING_CONFIG` branch ",
scrapy/scrapy,7366,wRAR,"@@ -820,20 +830,149 @@ def start(
     def _start_asyncio(
         self, stop_after_crawl: bool, install_signal_handlers: bool
     ) -> None:
-        # Very basic and will need multiple improvements.
-        # TODO https://docs.python.org/3/library/asyncio-runner.html#handling-keyboard-interruption
-        # TODO various exception handling
-        # TODO consider asyncio.run()
+        # We cannot use asyncio.run() here, because we can't let it handle the
+        # loop lifetime: _crawl() needs a loop (which we create in __init__()),
+        # because crawl() returns a Task.
+        # So we reproduce a part of asyncio.runners.Runner that is useful to us.
+
+        # Normal workflow:
+        # 1. _start_asyncio() creates a task for self.join() and calls _run_loop()
+        # 2. _run_loop() calls loop.run_until_complete(main_task)
+        # 3. Crawling tasks start and finish
+        # 4. join() completes, loop.run_until_complete() and thus _run_loop() return
+        # 5. _start_asyncio() calls _close_loop()
+        # 6. _close_loop() does finalization and calls loop.close()
+
+        # Normal workflow with stop_after_crawl=False:
+        # 1. _start_asyncio() creates a simple future and calls _run_loop()
+        # 2. _run_loop() calls loop.run_until_complete(main_task)
+        # 3. Crawling tasks start and finish
+        # 4. _run_loop() blocks until the loop is stopped externally or the
+        #    future is cancelled via Ctrl-C
+        # 5. (after _run_loop() returns)  _start_asyncio() calls _close_loop()
+        # 6. _close_loop() does finalization and calls loop.close()
+
+        # Workflow with Ctrl-C pressed once:
+        # 1. While loop.run_until_complete() blocks, _signal_shutdown_reactorless()
+        #    is called
+        # 2. _signal_shutdown_reactorless() calls _shutdown_graceful_reactorless()
+        #    (via call_soon_threadsafe())
+        # 3. _shutdown_graceful_reactorless() calls stop()
+        # 4. For stop_after_crawl=True: crawl tasks finish, join() completes,
+        #    loop.run_until_complete() and thus _run_loop() return
+        #    For stop_after_crawl=False: _shutdown_graceful_reactorless() waits
+        #    for crawl tasks via join(), then cancels the main task,
+        #    loop.run_until_complete() raises CancelledError, _run_loop() returns
+        # 5. _start_asyncio() calls _close_loop()
+        # 6. _close_loop() does finalization and calls loop.close()
+
+        # Workflow with Ctrl-C pressed twice:
+        # 1. While loop.run_until_complete() blocks, _signal_shutdown_reactorless()
+        #    is called
+        # 2. _signal_shutdown_reactorless() calls _shutdown_graceful_reactorless()
+        #    (via call_soon_threadsafe()) and installs _signal_kill_reactorless()
+        #    as the next handler
+        # 3. Before _shutdown_graceful_reactorless() completes,
+        #    _signal_kill_reactorless() is called
+        # 4. _signal_kill_reactorless() cancels the main task
+        #    (via call_soon_threadsafe())
+        # 5. loop.run_until_complete() raises CancelledError, _run_loop() returns
+        # 6. _start_asyncio() calls _close_loop()
+        # 7. _close_loop() cancels all pending tasks (including
+        #    _shutdown_graceful_reactorless()), does finalization and calls loop.close()
+
+        loop = self._reactorless_loop
+        assert loop
 
-        loop = asyncio.get_event_loop()
         if stop_after_crawl:
-            join_task = loop.create_task(self.join())
-            join_task.add_done_callback(lambda _: loop.stop())
+            self._reactorless_main_task = loop.create_task(self.join())
+        else:
+            self._reactorless_main_task = loop.create_future()
+        self._stop_after_crawl = stop_after_crawl
+
         try:
-            loop.run_forever()  # blocking call
+            self._run_loop(install_signal_handlers)  # blocking call
+        except asyncio.CancelledError:
+            pass
         finally:
+            self._close_loop()
+
+    def _run_loop(self, install_signal_handlers: bool) -> None:
+        # similar to asyncio.runners.Runner.run()
+        if install_signal_handlers:
+            install_shutdown_handlers(self._signal_shutdown_reactorless)
+        assert self._reactorless_loop
+        assert self._reactorless_main_task
+        self._reactorless_loop.run_until_complete(self._reactorless_main_task)
+
+    def _close_loop(self) -> None:
+        # Similar to asyncio.runners.Runner.close()
+        loop = self._reactorless_loop
+        assert loop","These runtime state checks use `assert` (e.g. `assert loop` / `assert self._reactorless_main_task`). Asserts can be stripped with Python optimizations (-O), and assertion failures surface as AssertionError instead of a clear RuntimeError. Prefer explicit checks that raise a descriptive exception (e.g. if start() is called twice, or called in a non-reactorless configuration).
```suggestion
        if self._reactorless_loop is None:
            raise RuntimeError(
                ""Reactorless event loop is not initialized. ""
                ""This likely indicates that the reactorless crawler process ""
                ""was not started correctly or has already been closed.""
            )
        if self._reactorless_main_task is None:
            raise RuntimeError(
                ""Reactorless main task is not initialized. ""
                ""This likely indicates that the reactorless crawler process ""
                ""was not started correctly or has already been closed.""
            )
        self._reactorless_loop.run_until_complete(self._reactorless_main_task)

    def _close_loop(self) -> None:
        # Similar to asyncio.runners.Runner.close()
        loop = self._reactorless_loop
        if loop is None:
            raise RuntimeError(
                ""Reactorless event loop is not initialized. ""
                ""This likely indicates that the reactorless crawler process ""
                ""was not started correctly or has already been closed.""
            )
```",
pandas-dev/pandas,64993,jbrockmendel,"@@ -529,9 +529,12 @@ def test_is_datetime64_ns_dtype():
     assert not com.is_datetime64_ns_dtype(DatetimeTZDtype(""us"", ""US/Eastern""))
 
 
+@pytest.mark.filterwarnings(
+    ""ignore:Using 'generic' unit for NumPy timedelta:DeprecationWarning""",Could we just remove testing the unit-less case since that will break again in the future? ,
pandas-dev/pandas,64291,sankerathul,,"@rhshadrach Just checking in, when do you expect this to be merged? I’m trying to understand the process better. Is there anything else I need to do on my end, or is it all set now?",
tiangolo/fastapi,11000,KaniKim,"@@ -0,0 +1,213 @@
+# 요청 본문
+
+클라이언트(브라우저라고 해봅시다)로부터 여러분의 API로 데이터를 보내야 할 때, **요청 본문**으로 보냅니다.
+
+**요청** 본문은 클라이언트에서 API로 보내지는 데이터입니다. **응답** 본문은 API가 클라이언트로 보내는 데이터입니다.
+
+여러분의 API는 대부분의 경우 **응답** 본문을 보내야 합니다. 하지만 클라이언트는 **요청** 본문을 매 번 보낼 필요가 없습니다.
+
+**요청** 본문을 선언하기 위해서 모든 강력함과 이점을 갖춘 <a href=""https://pydantic-docs.helpmanual.io/"" class=""external-link"" target=""_blank"">Pydantic</a> 모델을 사용합니다.
+
+!!! 정보
+    데이터를 보내기 위해, (좀 더 보편적인) `POST`, `PUT`, `DELETE` 혹은 `PATCH` 중에 하나를 사용하는 것이 좋습니다.
+
+    `GET` 요청에 본문을 담아 보내는 것은 명세서에 정의되지 않은 행동입니다. 그럼에도 불구하고, 이 방식은 아주 복잡한/극한의 사용 상황에서만 FastAPI에 의해 지원됩니다.
+
+    `GET` 요청에 본문을 담는 것은 권장되지 않기에, Swagger UI같은 대화형 문서에서는 `GET` 사용시 담기는 본문에 대한 문서를 표시하지 않으며, 중간에 있는 프록시는 이를 지원하지 않을 수도 있습니다.
+
+## Pydantic의 `BaseModel` 임포트
+
+먼저 `pydantic`에서 `BaseModel`를 임포트해야 합니다:
+
+=== ""Python 3.10+""
+
+    ```Python hl_lines=""2""
+    {!> ../../../docs_src/body/tutorial001_py310.py!}
+    ```
+
+=== ""Python 3.8+""
+
+    ```Python hl_lines=""4""
+    {!> ../../../docs_src/body/tutorial001.py!}
+    ```
+
+## 여러분의 데이터 모델 만들기
+
+`BaseModel`를 상속받은 클래스로 여러분의 데이터 모델을 선언합니다.
+
+모든 어트리뷰트에 대해 표준 파이썬 타입을 사용합니다:
+
+=== ""Python 3.10+""
+
+    ```Python hl_lines=""5-9""
+    {!> ../../../docs_src/body/tutorial001_py310.py!}
+    ```
+
+=== ""Python 3.8+""
+
+    ```Python hl_lines=""7-11""
+    {!> ../../../docs_src/body/tutorial001.py!}
+    ```
+
+쿼리 매개변수를 선언할 때와 똑같이, 모델 어트리뷰트가 기본 값을 가지고 있어도 이는 필수가 아닙니다. 그외에는 필수입니다. 그저 `None`을 사용하여 선택적으로 만들 수 있습니다.
+
+예를 들면, 위의 이 모델은 JSON ""`object`"" (혹은 파이썬 `dict`)을 다음과 같이 선언합니다:
+
+```JSON
+{
+    ""name"": ""Foo"",
+    ""description"": ""선택적인 설명란"",
+    ""price"": 45.2,
+    ""tax"": 3.5
+}
+```
+
+...`description`과 `tax`는 (기본 값이 `None`으로 되어 있어) 선택적이기 때문에, 이 JSON ""`object`"" 다음과 같은 상황에서도 유효합니다:","```suggestion
...`description`과 `tax`는 (기본 값이 `None`으로 되어 있어) 선택적이기 때문에, 이 JSON ""`object`""는 다음과 같은 상황에서도 유효합니다:
```",
tiangolo/fastapi,14986,tiangolo,,"<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->
## Merging this PR will **not alter performance**




`✅ 20` untouched benchmarks  



---

<sub>Comparing <code>root-path-html</code> (c167c04) with <code>master</code> (0cf27ec)[^unexpected-base]</sub>

<a href=""https://codspeed.io/fastapi/fastapi/branches/root-path-html?utm_source=github&utm_medium=comment-v2&utm_content=button"">
  <picture>
    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">
    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">
    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">
  </picture>
</a>

[^unexpected-base]: No successful run was found on <code>master</code> (2f9c914) during the generation of this report, so 0cf27ec was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.
",
django/django,20027,Eddy-123,,"Yes, I'll work on it over the weekend.",
django/django,20308,VIZZARD-X,"@@ -274,6 +275,23 @@ def test_helpful_error_message_for_many2many_not_iterable(self):
         with self.assertRaisesMessage(DeserializationError, expected):
             next(serializers.deserialize(""json"", test_string, ignore=False))
 
+    def test_m2m_natural_key_ordering(self):","The strategy of this test is to assert against a deterministic order. The bug, however, manifests indeterministically and was discovered because we already had a test asserting against a deterministic order (see ticket). So I don't know that we need a second test with the same strategy. This test also doesn't cover the changes in the XML serializer.

My instinct would be to test something more low-level. Unfortunately we can't mock out `queryset_iterator` because it's a nested function (and I'm not suggesting to change that here.)

We could assert over the underlying SQL, or we could mock out `order_by`. Here's a version of the latter, although I see we have tests in `serializers/tests.py` that assert over SQL (those are just sometimes brittle to maintain).

```diff
diff --git a/tests/serializers/test_json.py b/tests/serializers/test_json.py
index a775147259..4e74383ca9 100644
--- a/tests/serializers/test_json.py
+++ b/tests/serializers/test_json.py
@@ -2,6 +2,7 @@ import datetime
 import decimal
 import json
 import re
+from unittest import mock
 
 from django.core import serializers
 from django.core.serializers.base import DeserializationError
@@ -275,7 +276,10 @@ class JsonSerializerTestCase(SerializersTestBase, TestCase):
         with self.assertRaisesMessage(DeserializationError, expected):
             next(serializers.deserialize(""json"", test_string, ignore=False))
 
-    def test_m2m_natural_key_ordering(self):
+    @mock.patch.object(
+        models.QuerySet, ""order_by"", side_effect=models.QuerySet.order_by, autospec=True
+    )
+    def test_m2m_natural_key_ordering(self, mock):
         """"""
         Ticket #36750: M2M relations with natural keys are serialized in a
         deterministic order (by PK) when the model does not have a default
@@ -291,6 +295,7 @@ class JsonSerializerTestCase(SerializersTestBase, TestCase):
         data = json.loads(output)
         m2m_data = data[0][""fields""][""categories""]
         self.assertEqual(m2m_data, [list(c1.natural_key()), list(c2.natural_key())])
+        mock.assert_called_once()
 
 
 class JsonSerializerTransactionTestCase(
```

You should probably move this test to tests.py anyway to get coverage of the XML serializer.",
django/django,20665,Antoliny0919,,"### 📊 Coverage Report for Changed Files

```
-------------
Diff Coverage
Diff: origin/main...HEAD, staged and unstaged changes
-------------
No lines with coverage information in this diff.
-------------


```

**Note:** Missing lines are warnings only. Some lines may not be covered by SQLite tests as they are database-specific.

For more information about code coverage on pull requests, see the [contributing documentation](https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/unit-tests/#code-coverage-on-pull-requests).",
django/django,19794,cliffordgama,,"> Thanks @cliffordgama 👍 

Thanks for the thorough review 🙇🏾

",
scrapy/scrapy,6940,thalissonvs,"@@ -336,6 +336,8 @@ def pop(self) -> Request | None:
 
     def push(self, request: Request) -> None:
         slot = self._downloader_interface.get_slot_key(request)
+        # Handle None slot by converting to string
+        slot = str(slot)",Yeah I was not sure how to handle this. Any ideas?,
tiangolo/fastapi,15157,tiangolo,,"<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->
## Merging this PR will **not alter performance**




`✅ 20` untouched benchmarks  



---

<sub>Comparing <code>translate-pt-add-missing-ccf502d8</code> (b12c14c) with <code>master</code> (6e5e942)[^unexpected-base]</sub>

<a href=""https://codspeed.io/fastapi/fastapi/branches/translate-pt-add-missing-ccf502d8?utm_source=github&utm_medium=comment-v2&utm_content=button"">
  <picture>
    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">
    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">
    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">
  </picture>
</a>

[^unexpected-base]: No successful run was found on <code>master</code> (b707bb8) during the generation of this report, so 6e5e942 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.
",
tiangolo/fastapi,14953,tiangolo,,"<!-- __CODSPEED_PERFORMANCE_REPORT_COMMENT__ -->
## Merging this PR will **not alter performance**




`✅ 20` untouched benchmarks  



---

<sub>Comparing <code>content-media-type</code> (089be9d) with <code>master</code> (cf05823)[^unexpected-base]</sub>

<a href=""https://codspeed.io/fastapi/fastapi/branches/content-media-type?utm_source=github&utm_medium=comment-v2&utm_content=button"">
  <picture>
    <source media=""(prefers-color-scheme: dark)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-dark.svg"">
    <source media=""(prefers-color-scheme: light)"" srcset=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"">
    <img alt=""Open in CodSpeed"" src=""https://codspeed.io/pr-report/open-in-codspeed-light.svg"" width=""169"" height=""32"">
  </picture>
</a>

[^unexpected-base]: No successful run was found on <code>master</code> (d2c17b6) during the generation of this report, so cf05823 was used instead as the comparison base. There might be some changes unrelated to this pull request in this report.
",
pandas-dev/pandas,61828,eicchen,"@@ -268,16 +280,50 @@ def test_add_strings(dtype):
 def test_add_frame(dtype):
     arr = pd.array([""a"", ""b"", np.nan, np.nan], dtype=dtype)
     df = pd.DataFrame([[""x"", np.nan, ""y"", np.nan]])
-
     assert arr.__add__(df) is NotImplemented
 
     result = arr + df
     expected = pd.DataFrame([[""ax"", np.nan, np.nan, np.nan]]).astype(dtype)
-    tm.assert_frame_equal(result, expected)
+    tm.assert_frame_equal(result, expected, check_dtype=False)
 
     result = df + arr
     expected = pd.DataFrame([[""xa"", np.nan, np.nan, np.nan]]).astype(dtype)
-    tm.assert_frame_equal(result, expected)
+    tm.assert_frame_equal(result, expected, check_dtype=False)
+
+    if isinstance(dtype, ""str[python]""):","im pretty confident that this line is always going to raise TypeError, which can't possibly be what you intend.",
scrapy/scrapy,7385,wRAR,"@@ -651,14 +656,21 @@ Default: ``True``
 
 Whether to enable DNS in-memory cache.
 
+.. note::
+    This setting is only used by
+    :class:`~scrapy.resolver.CachingThreadedResolver` and
+    :class:`~scrapy.resolver.CachingHostnameResolver`. It has no effect when
+    :setting:`DNS_RESOLVER` is set to a different resolver or when
+    :setting:`TWISTED_ENABLED` is ``False``.","A similar change may apply elsewhere. The idea is that a different DNS_RESOLVER may still respect some or all of the same settings as the default/built-in ones, so we should use ""may"" or similar to communicate that it is a possibility, not a given.",
